OID,file,path,latitude,longitude,timestamp,scanArea,pitch,roll,x,y,area,amaj,amin,dist,conf,class,UTMNO,UTMLE
39,G0014971.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0014971.JPG,31.787474299972224,-143.9297104,2019-12-02 18:33:19,272531.5308988099,70.52032554895551,-3.5102500326544e-15,222594.7848862395,3520637.912582012,0.20575426800305038,0.7120159276426312,0.3831860052506206,23.86012031432913,0.34228516,0.0,7,R
40,G0015005.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0015005.JPG,42.409088799972224,-129.97546099997223,2019-11-23 17:38:58,261527.85209144538,73.00947757575649,-3.5102500326544e-15,419719.6714067748,4695682.112883254,0.31689357815373626,0.9513322768307568,0.4355167789718207,26.78613349655985,0.30493164,0.0,9,T
41,G0015446.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0015446.JPG,42.36562839997222,-130.0571854,2019-12-07 19:45:41,131630.7984670401,69.35675275331943,-2.001079618830066,412946.7191744378,4690954.820035077,0.2774511756497822,0.8030208317170249,0.36739075760595125,40.843319615501464,0.30273438,0.0,9,T
42,G0015447.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0015447.JPG,42.3657078,-130.0571432,2019-12-07 19:45:43,278519.2019371573,69.33982807477956,-3.5102500326544e-15,412931.85948256036,4690965.597874144,1.6794520876692305,2.4925063159562355,0.7892774857311454,47.52043918022975,0.3864746,0.0,9,T
43,G0015447.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0015447.JPG,42.3657078,-130.0571432,2019-12-07 19:45:43,278519.2019371573,69.33982807477956,-3.5102500326544e-15,412941.25876687706,4690960.275023077,0.2577322471726661,0.7996331263206408,0.36687919373395506,39.12427507033461,0.4411621,0.0,9,T
44,G0017112.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0017112.JPG,35.67903479997222,-138.08749789997222,2019-12-04 17:14:34,171695.2037632638,69.3448655281763,-1.000540138719369,763608.3222682502,3952281.246582543,0.9596353048555425,1.8148063274396011,0.6593314263855553,26.89165094559689,0.22021484,0.0,7,S
45,G0017113.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0017113.JPG,35.679121099999996,-138.08742459997222,2019-12-04 17:14:36,129913.2669792906,70.09264469439616,-2.001079618830066,763604.0718506557,3952292.419080246,1.3499334687953186,1.542446859387975,0.9598360614414507,23.978105577708817,0.14343262,0.0,7,S
46,G0017114.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0017114.JPG,35.67920339997222,-138.0873555,2019-12-04 17:14:38,168246.95605901195,70.45113532332941,-1.000540138719369,763598.9634252009,3952301.4136605547,0.8700984257673007,1.367256805984399,0.735891526393516,24.054701591382944,0.37402344,0.0,7,S
47,G0017187.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0017187.JPG,42.5780844,-129.92059329999998,2019-12-07 21:42:17,167366.6236252044,70.74875953593877,-1.000540138719369,424461.28630956396,4714417.263594658,3.2129325494285705,2.28168738457428,1.5746756349192308,44.0065614752259,0.5493164,0.0,9,T
48,G0017188.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0017188.JPG,42.5781524,-129.92053909999998,2019-12-07 21:42:27,128595.0519067057,70.68634037352196,-2.001079618830066,424455.65304013377,4714427.839154949,3.130845712567989,2.5488349100427086,1.319682569125291,46.1710583972065,0.30004883,0.0,9,T
